num_chords,chords__index,chordsTime,chordsTime + offset,,chords__chord,gap,in_reaper?,Region_Reaper,
,111,163.22,165.9020,45.9020,A:min6,0.62,,,
,112,163.84,166.5173,46.5173,G:maj7,1.54,,,
,113,165.38,168.0560,48.0560,A:maj6,0.92,,,
,114,166.30,168.9767,48.9767,B:min,1.53,,,
,115,167.83,170.5069,50.5069,A:maj,0.61,,,
,116,168.44,171.1162,51.1162,G:maj7,1.52,,,
,117,169.96,172.6362,52.6362,D:maj6,2.75,,,
,118,172.71,175.3886,55.3886,A:maj,0.92,,,
,119,173.63,176.3112,56.3112,G:maj,1.23,,,
,120,174.86,177.5403,57.5403,F#:min7,1.23,,,
,121,176.09,178.7672,58.7672,B:min,1.23,,,
,122,177.31,179.9937,59.9937,A:maj6,1.22,,,
,123,178.54,181.2176,1.2176,G:maj7,1.22,,,
,124,179.76,182.4420,2.4420,F#:min7,0.91,,,
,125,180.68,183.3554,3.3554,B:min,1.53,,,
,126,182.20,184.8805,4.8805,A:maj6,1.23,,,
,127,183.43,186.1083,6.1083,G:maj6,1.23,,,
,128,184.66,187.3357,7.3357,A:maj6,1.22,,,
,129,185.88,188.5606,8.5606,B:min,0.92,verse 3,,
,130,186.80,189.4815,9.4815,E:maj,0.61,,,
,131,187.42,190.0953,10.0953,A:maj,0.92,,,
,132,188.34,191.0152,11.0152,G:maj,1.23,,,
,133,189.56,192.2414,12.2414,A:maj6,0.92,,,
,134,190.48,193.1589,13.1589,B:7,1.83,,,
,135,192.31,194.9893,14.9893,A:maj6,0.61,,,
,136,192.92,195.6026,15.6026,G:maj6,1.53,,,
,137,194.46,197.1344,17.1344,A:min6,1.22,,,
,138,195.68,198.3560,18.3560,B:min,0.91,,,
,139,196.59,199.2706,19.2706,A:min6,1.53,,,
,140,198.12,200.8033,20.8033,G:maj,1.23,,,
,141,199.36,202.0345,22.0345,A:maj6,1.23,,,
,142,200.59,203.2676,23.2676,B:min,0.92,,,
,143,201.51,204.1883,24.1883,A:maj6,1.22,,,
,144,202.73,205.4109,25.4109,G:maj6,1.52,,,
,145,204.25,206.9313,26.9313,A:7,1.22,,,
,146,205.47,208.1497,28.1497,B:min,1.22,,,
,147,206.69,209.3713,29.3713,A:maj6,1.23,,,
,148,207.92,210.5978,30.5978,G:maj7,1.83,,,
,149,209.75,212.4307,32.4307,B:min7,1.83,,,
,150,211.58,214.2636,34.2636,A:maj,1.23,,,
,151,212.81,215.4908,35.4908,G:maj7,1.23,,,
,152,214.04,216.7203,,F#:hdim7,1.23,,,
,153,215.27,217.9465,,B:min7,1.23,,,
,154,216.49,219.1729,,A:maj6,1.22,,,
,155,217.72,220.3944,,G:maj6,1.53,,,
,156,219.25,221.9291,,A:maj6,0.92,,,
,157,220.17,222.8475,,D:maj6,2.45,,,
,158,222.62,225.3002,,G:maj7,1.53,,,
,159,224.15,226.8314,,A:maj,0.92,,,
,160,225.07,227.7486,,D:maj6,1.83,,,
,161,226.90,229.5782,,E:maj,0.61,,,
,162,227.51,230.1879,,G:maj6,1.53,,,
,163,229.04,231.7216,,A:maj,0.92,,,
,164,229.96,232.6367,,D:maj6,1.83,,,
,165,231.79,234.4707,,A:maj,0.62,,,
,166,232.41,235.0861,,G:maj6,1.53,,,
,167,233.94,236.6208,,A:maj7,0.92,,,
,168,234.86,237.5393,,B:min7,1.53,,,
,169,236.39,239.0668,,A:min,0.61,,,
,170,237.00,239.6783,,G:maj6,1.53,,,
,171,238.53,241.2048,,A:maj6,1.22,,,
,172,239.74,242.4205,,B:min,0.61,,,
,173,240.35,243.0330,,E:maj,0.92,,,
,174,241.27,243.9532,,A:maj6,0.92,,,
,175,242.20,244.8763,,G:maj,1.22,,,
,176,243.42,246.0997,,A:min7,1.22,,,
,177,244.65,247.3246,,B:min,1.23,,,
,178,245.88,248.5559,,A:min,1.24,,,
,179,247.11,249.7910,,G:maj,1.54,,,
,180,248.65,251.3291,,A:7,0.61,,,
,181,249.26,251.9433,,B:min,1.83,,,
,182,251.10,253.7778,,E:min7,3.35,,,
,183,254.45,257.1322,,B:min,2.14,,,
,184,256.59,259.2673,,B:maj7,2.14,,,
,185,258.73,261.4105,,N,-258.73,,,
